,Date,Price
15,1998-02-15,2.23
16,1998-03-15,2.24
17,1998-04-15,2.43
18,1998-05-15,2.14
19,1998-06-15,2.17
20,1998-07-15,2.17
21,1998-08-15,1.85
22,1998-09-15,2.02
23,1998-10-15,1.91
24,1998-11-15,2.12
25,1998-12-15,1.72
26,1999-01-15,1.85
27,1999-02-15,1.77
28,1999-03-15,1.79
29,1999-04-15,2.15
30,1999-05-15,2.26
31,1999-06-15,2.3
32,1999-07-15,2.31
33,1999-08-15,2.8
34,1999-09-15,2.55
35,1999-10-15,2.73
36,1999-11-15,2.37
37,1999-12-15,2.36
38,2000-01-15,2.42
39,2000-02-15,2.66
40,2000-03-15,2.79
41,2000-04-15,3.04
42,2000-05-15,3.59
43,2000-06-15,4.29
44,2000-07-15,3.99
45,2000-08-15,4.43
46,2000-09-15,5.06
47,2000-10-15,5.02
48,2000-11-15,5.52
49,2000-12-15,8.9
50,2001-01-15,8.17
51,2001-02-15,5.61
52,2001-03-15,5.23
53,2001-04-15,5.19
54,2001-05-15,4.19
55,2001-06-15,3.72
56,2001-07-15,3.11
57,2001-08-15,2.97
58,2001-09-15,2.19
59,2001-10-15,2.46
60,2001-11-15,2.34
61,2001-12-15,2.3
62,2002-01-15,2.32
63,2002-02-15,2.32
64,2002-03-15,3.03
65,2002-04-15,3.43
66,2002-05-15,3.5
67,2002-06-15,3.26
68,2002-07-15,2.99
69,2002-08-15,3.09
70,2002-09-15,3.55
71,2002-10-15,4.13
72,2002-11-15,4.04
73,2002-12-15,4.74
74,2003-01-15,5.43
75,2003-02-15,7.71
76,2003-03-15,5.93
77,2003-04-15,5.26
78,2003-05-15,5.81
79,2003-06-15,5.82
80,2003-07-15,5.03
81,2003-08-15,4.99
82,2003-09-15,4.62
83,2003-10-15,4.63
84,2003-11-15,4.47
85,2003-12-15,6.13
86,2004-01-15,6.14
87,2004-02-15,5.37
88,2004-03-15,5.39
89,2004-04-15,5.71
90,2004-05-15,6.33
91,2004-06-15,6.27
92,2004-07-15,5.93
93,2004-08-15,5.41
94,2004-09-15,5.15
95,2004-10-15,6.35
96,2004-11-15,6.17
97,2004-12-15,6.58
98,2005-01-15,6.15
99,2005-02-15,6.14
100,2005-03-15,6.96
101,2005-04-15,7.16
102,2005-05-15,6.47
103,2005-06-15,7.18
104,2005-07-15,7.63
105,2005-08-15,9.53
106,2005-09-15,11.75
107,2005-10-15,13.42
108,2005-11-15,10.3
109,2005-12-15,13.05
110,2006-01-15,8.69
111,2006-02-15,7.54
112,2006-03-15,6.89
113,2006-04-15,7.16
114,2006-05-15,6.25
115,2006-06-15,6.21
116,2006-07-15,6.17
117,2006-08-15,7.14
118,2006-09-15,4.9
119,2006-10-15,5.85
120,2006-11-15,7.41
121,2006-12-15,6.73
122,2007-01-15,6.55
123,2007-02-15,8
124,2007-03-15,7.11
125,2007-04-15,7.6
126,2007-05-15,7.64
127,2007-06-15,7.35
128,2007-07-15,6.22
129,2007-08-15,6.22
130,2007-09-15,6.08
131,2007-10-15,6.74
132,2007-11-15,7.1
133,2007-12-15,7.11
134,2008-01-15,7.99
135,2008-02-15,8.54
136,2008-03-15,9.41
137,2008-04-15,10.18
